Year,College,Branch,Category,Rank
2021,BMSIT,CSE,OBC,11126
2021,BMSIT,CSE,OBC,11116
2021,BMSIT,CSE,OBC,11106
2021,BMSIT,CSE,OBC,11096
2021,BMSIT,CSE,OBC,11086
2021,BMSIT,CSE,OBC,11076
2021,BMSIT,CSE,OBC,11066
2021,BMSIT,CSE,OBC,11056
2021,BMSIT,CSE,OBC,11046
2021,BMSIT,CSE,OBC,11036
2021,BMSIT,CSE,OBC,11026
2021,BMSIT,CSE,OBC,11016
2021,BMSIT,CSE,OBC,11006
2021,BMSIT,CSE,OBC,10996
2021,BMSIT,CSE,OBC,10986
2021,BMSIT,CSE,OBC,10976
2021,BMSIT,CSE,OBC,10966
2021,BMSIT,CSE,OBC,10956
2021,BMSIT,CSE,OBC,10946
2021,BMSIT,CSE,OBC,10936
2021,BMSIT,CSE,OBC,10926
2021,BMSIT,CSE,OBC,10916
2021,BMSIT,CSE,OBC,10906
2021,BMSIT,CSE,OBC,10896
2021,BMSIT,CSE,OBC,10886
2021,BMSIT,CSE,OBC,10876
2021,BMSIT,CSE,OBC,10866
2021,BMSIT,CSE,OBC,10856
2021,BMSIT,CSE,OBC,10846
2021,BMSIT,CSE,OBC,10836
2021,BMSIT,CSE,OBC,10826
2021,BMSIT,CSE,OBC,10816
2021,BMSIT,CSE,OBC,10806
2021,BMSIT,CSE,OBC,10796
2022,BMSIT,CSE,OBC,11312
2022,BMSIT,CSE,OBC,11302
2022,BMSIT,CSE,OBC,11292
2022,BMSIT,CSE,OBC,11282
2022,BMSIT,CSE,OBC,11272
2022,BMSIT,CSE,OBC,11262
2022,BMSIT,CSE,OBC,11252
2022,BMSIT,CSE,OBC,11242
2022,BMSIT,CSE,OBC,11232
2022,BMSIT,CSE,OBC,11222
2022,BMSIT,CSE,OBC,11212
2022,BMSIT,CSE,OBC,11202
2022,BMSIT,CSE,OBC,11192
2022,BMSIT,CSE,OBC,11182
2022,BMSIT,CSE,OBC,11172
2022,BMSIT,CSE,OBC,11162
2022,BMSIT,CSE,OBC,11152
2022,BMSIT,CSE,OBC,11142
2022,BMSIT,CSE,OBC,11132
2022,BMSIT,CSE,OBC,11122
2022,BMSIT,CSE,OBC,11112
2022,BMSIT,CSE,OBC,11102
2022,BMSIT,CSE,OBC,11092
2022,BMSIT,CSE,OBC,11082
2022,BMSIT,CSE,OBC,11072
2022,BMSIT,CSE,OBC,11062
2022,BMSIT,CSE,OBC,11052
2022,BMSIT,CSE,OBC,11042
2022,BMSIT,CSE,OBC,11032
2022,BMSIT,CSE,OBC,11022
2022,BMSIT,CSE,OBC,11012
2022,BMSIT,CSE,OBC,11002
2022,BMSIT,CSE,OBC,10992
2022,BMSIT,CSE,OBC,10982
2022,BMSIT,CSE,OBC,10972
2021,MSRIT,CSE,OBC,2275
2021,MSRIT,CSE,OBC,2265
