Year,College,Branch,Category,Rank
2021,BMSIT,CSE,SC,24759
2021,BMSIT,CSE,SC,24749
2021,BMSIT,CSE,SC,24739
2021,BMSIT,CSE,SC,24729
2021,BMSIT,CSE,SC,24719
2021,BMSIT,CSE,SC,24709
2021,BMSIT,CSE,SC,24699
2021,BMSIT,CSE,SC,24689
2021,BMSIT,CSE,SC,24679
2021,BMSIT,CSE,SC,24669
2021,BMSIT,CSE,SC,24659
2021,BMSIT,CSE,SC,24649
2021,BMSIT,CSE,SC,24639
2021,BMSIT,CSE,SC,24629
2021,BMSIT,CSE,SC,24619
2021,BMSIT,CSE,SC,24609
2021,BMSIT,CSE,SC,24599
2021,BMSIT,CSE,SC,24589
2021,BMSIT,CSE,SC,24579
2021,BMSIT,CSE,SC,24569
2021,BMSIT,CSE,SC,24559
2021,BMSIT,CSE,SC,24549
2021,BMSIT,CSE,SC,24539
2021,BMSIT,CSE,SC,24529
2021,BMSIT,CSE,SC,24519
2021,BMSIT,CSE,SC,24509
2021,BMSIT,CSE,SC,24499
2021,BMSIT,CSE,SC,24489
2021,BMSIT,CSE,SC,24479
2021,BMSIT,CSE,SC,24469
2021,BMSIT,CSE,SC,24459
2021,BMSIT,CSE,SC,24449
2021,BMSIT,CSE,SC,24439
2021,BMSIT,CSE,SC,24429
2021,BMSIT,CSE,SC,24419
2022,BMSIT,CSE,SC,22909
2022,BMSIT,CSE,SC,22899
2022,BMSIT,CSE,SC,22889
2022,BMSIT,CSE,SC,22879
2022,BMSIT,CSE,SC,22869
2022,BMSIT,CSE,SC,22859
2022,BMSIT,CSE,SC,22849
2022,BMSIT,CSE,SC,22839
2022,BMSIT,CSE,SC,22829
2022,BMSIT,CSE,SC,22819
2022,BMSIT,CSE,SC,22809
2022,BMSIT,CSE,SC,22799
2022,BMSIT,CSE,SC,22789
2022,BMSIT,CSE,SC,22779
2022,BMSIT,CSE,SC,22769
2022,BMSIT,CSE,SC,22759
2022,BMSIT,CSE,SC,22749
2022,BMSIT,CSE,SC,22739
2022,BMSIT,CSE,SC,22729
2022,BMSIT,CSE,SC,22719
2022,BMSIT,CSE,SC,22709
2022,BMSIT,CSE,SC,22699
2022,BMSIT,CSE,SC,22689
2022,BMSIT,CSE,SC,22679
2022,BMSIT,CSE,SC,22669
2022,BMSIT,CSE,SC,22659
2022,BMSIT,CSE,SC,22649
2022,BMSIT,CSE,SC,22639
2022,BMSIT,CSE,SC,22629
2022,BMSIT,CSE,SC,22619
2022,BMSIT,CSE,SC,22609
2022,BMSIT,CSE,SC,22599
2022,BMSIT,CSE,SC,22589
2022,BMSIT,CSE,SC,22579
2022,BMSIT,CSE,SC,22569
2021,MSRIT,CSE,SC,7462
2021,MSRIT,CSE,SC,7452
2021,MSRIT,CSE,SC,7442
2021,MSRIT,CSE,SC,7432
2021,MSRIT,CSE,SC,7422
2021,MSRIT,CSE,SC,7412
2021,MSRIT,CSE,SC,7402
2021,MSRIT,CSE,SC,7392
2021,MSRIT,CSE,SC,7382
2021,MSRIT,CSE,SC,7372
2021,MSRIT,CSE,SC,7362
2021,MSRIT,CSE,SC,7352
2021,MSRIT,CSE,SC,7342
2021,MSRIT,CSE,SC,7332
2021,MSRIT,CSE,SC,7322
2021,MSRIT,CSE,SC,7312
2021,MSRIT,CSE,SC,7302
2021,MSRIT,CSE,SC,7292
2021,MSRIT,CSE,SC,7282
2021,MSRIT,CSE,SC,7272
2021,MSRIT,CSE,SC,7262
2021,MSRIT,CSE,SC,7252
2021,MSRIT,CSE,SC,7242
2021,MSRIT,CSE,SC,7232
2021,MSRIT,CSE,SC,7222
2021,MSRIT,CSE,SC,7212
2021,MSRIT,CSE,SC,7202
2021,MSRIT,CSE,SC,7192
2021,MSRIT,CSE,SC,7182
2021,MSRIT,CSE,SC,7172
2021,MSRIT,CSE,SC,7162
2021,MSRIT,CSE,SC,7152
2021,MSRIT,CSE,SC,7142
2021,MSRIT,CSE,SC,7132
2021,MSRIT,CSE,SC,7122
2022,MSRIT,CSE,SC,10105
2022,MSRIT,CSE,SC,10095
2022,MSRIT,CSE,SC,10085
2022,MSRIT,CSE,SC,10075
2022,MSRIT,CSE,SC,10065
2022,MSRIT,CSE,SC,10055
2022,MSRIT,CSE,SC,10045
2022,MSRIT,CSE,SC,10035
2022,MSRIT,CSE,SC,10025
2022,MSRIT,CSE,SC,10015
2022,MSRIT,CSE,SC,10005
2022,MSRIT,CSE,SC,9995
2022,MSRIT,CSE,SC,9985
2022,MSRIT,CSE,SC,9975
2022,MSRIT,CSE,SC,9965
2022,MSRIT,CSE,SC,9955
2022,MSRIT,CSE,SC,9945
2022,MSRIT,CSE,SC,9935
2022,MSRIT,CSE,SC,9925
2022,MSRIT,CSE,SC,9915
2022,MSRIT,CSE,SC,9905
2022,MSRIT,CSE,SC,9895
2022,MSRIT,CSE,SC,9885
2022,MSRIT,CSE,SC,9875
2022,MSRIT,CSE,SC,9865
2022,MSRIT,CSE,SC,9855
2022,MSRIT,CSE,SC,9845
2022,MSRIT,CSE,SC,9835
2022,MSRIT,CSE,SC,9825
2022,MSRIT,CSE,SC,9815
2022,MSRIT,CSE,SC,9805
2022,MSRIT,CSE,SC,9795
2022,MSRIT,CSE,SC,9785
2022,MSRIT,CSE,SC,9775
2022,MSRIT,CSE,SC,9765
2021,BMSCE,CSE,SC,10068
2021,BMSCE,CSE,SC,10058
2021,BMSCE,CSE,SC,10048
2021,BMSCE,CSE,SC,10038
2021,BMSCE,CSE,SC,10028
2021,BMSCE,CSE,SC,10018
2021,BMSCE,CSE,SC,10008
2021,BMSCE,CSE,SC,9998
2021,BMSCE,CSE,SC,9988
2021,BMSCE,CSE,SC,9978
2021,BMSCE,CSE,SC,9968
2021,BMSCE,CSE,SC,9958
2021,BMSCE,CSE,SC,9948
2021,BMSCE,CSE,SC,9938
2021,BMSCE,CSE,SC,9928
2021,BMSCE,CSE,SC,9918
2021,BMSCE,CSE,SC,9908
2021,BMSCE,CSE,SC,9898
