Year,College,Branch,Category,Rank
2021,BMSIT,ISE,SC,38541
2021,BMSIT,ISE,SC,38531
2021,BMSIT,ISE,SC,38521
2021,BMSIT,ISE,SC,38511
2021,BMSIT,ISE,SC,38501
2021,BMSIT,ISE,SC,38491
2021,BMSIT,ISE,SC,38481
2021,BMSIT,ISE,SC,38471
2021,BMSIT,ISE,SC,38461
2021,BMSIT,ISE,SC,38451
2021,BMSIT,ISE,SC,38441
2021,BMSIT,ISE,SC,38431
2021,BMSIT,ISE,SC,38421
2021,BMSIT,ISE,SC,38411
2021,BMSIT,ISE,SC,38401
2021,BMSIT,ISE,SC,38391
2021,BMSIT,ISE,SC,38381
2021,BMSIT,ISE,SC,38371
2021,BMSIT,ISE,SC,38361
2021,BMSIT,ISE,SC,38351
2021,BMSIT,ISE,SC,38341
2021,BMSIT,ISE,SC,38331
2021,BMSIT,ISE,SC,38321
2021,BMSIT,ISE,SC,38311
2021,BMSIT,ISE,SC,38301
2021,BMSIT,ISE,SC,38291
2021,BMSIT,ISE,SC,38281
2021,BMSIT,ISE,SC,38271
2021,BMSIT,ISE,SC,38261
2021,BMSIT,ISE,SC,38251
2021,BMSIT,ISE,SC,38241
2021,BMSIT,ISE,SC,38231
2021,BMSIT,ISE,SC,38221
2021,BMSIT,ISE,SC,38211
2021,BMSIT,ISE,SC,38201
2022,BMSIT,ISE,SC,39567
2022,BMSIT,ISE,SC,39557
2022,BMSIT,ISE,SC,39547
2022,BMSIT,ISE,SC,39537
2022,BMSIT,ISE,SC,39527
2022,BMSIT,ISE,SC,39517
2022,BMSIT,ISE,SC,39507
2022,BMSIT,ISE,SC,39497
2022,BMSIT,ISE,SC,39487
2022,BMSIT,ISE,SC,39477
2022,BMSIT,ISE,SC,39467
2022,BMSIT,ISE,SC,39457
2022,BMSIT,ISE,SC,39447
2022,BMSIT,ISE,SC,39437
2022,BMSIT,ISE,SC,39427
2022,BMSIT,ISE,SC,39417
2022,BMSIT,ISE,SC,39407
2022,BMSIT,ISE,SC,39397
2022,BMSIT,ISE,SC,39387
2022,BMSIT,ISE,SC,39377
2022,BMSIT,ISE,SC,39367
2022,BMSIT,ISE,SC,39357
2022,BMSIT,ISE,SC,39347
2022,BMSIT,ISE,SC,39337
2022,BMSIT,ISE,SC,39327
2022,BMSIT,ISE,SC,39317
2022,BMSIT,ISE,SC,39307
2022,BMSIT,ISE,SC,39297
2022,BMSIT,ISE,SC,39287
2022,BMSIT,ISE,SC,39277
2022,BMSIT,ISE,SC,39267
2022,BMSIT,ISE,SC,39257
2022,BMSIT,ISE,SC,39247
2022,BMSIT,ISE,SC,39237
2022,BMSIT,ISE,SC,39227
2021,MSRIT,ISE,SC,16963
2021,MSRIT,ISE,SC,16953
2021,MSRIT,ISE,SC,16943
2021,MSRIT,ISE,SC,16933
2021,MSRIT,ISE,SC,16923
2021,MSRIT,ISE,SC,16913
2021,MSRIT,ISE,SC,16903
2021,MSRIT,ISE,SC,16893
2021,MSRIT,ISE,SC,16883
2021,MSRIT,ISE,SC,16873
2021,MSRIT,ISE,SC,16863
2021,MSRIT,ISE,SC,16853
2021,MSRIT,ISE,SC,16843
2021,MSRIT,ISE,SC,16833
2021,MSRIT,ISE,SC,16823
2021,MSRIT,ISE,SC,16813
